set name,inst name,mask,exec_w,lsu_w,branch_w,mul_w,div_w,csr_w,rs1_valid_w,rs2_valid_w,rd_valid_w,wfi_w,fpu_w,rs1_float_w,rs2_float_w,rs3_float_w,rd_float_w
rv64_f,fcvt.l.s,110000000010-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv64_f,fcvt.lu.s,110000000011-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv64_f,fcvt.s.l,110100000010-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv64_f,fcvt.s.lu,110100000011-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv_d,fld,-----------------011-----0000111,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
rv_d,fsd,-----------------011-----0100111,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
rv_d,fmadd.d,-----01------------------1000011,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_d,fmsub.d,-----01------------------1000111,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_d,fnmsub.d,-----01------------------1001011,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_d,fnmadd.d,-----01------------------1001111,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_d,fadd.d,0000001------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fsub.d,0000101------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fmul.d,0001001------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fdiv.d,0001101------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fsqrt.d,010110100000-------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
rv_d,fsgnj.d,0010001----------000-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fsgnjn.d,0010001----------001-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fsgnjx.d,0010001----------010-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fmin.d,0010101----------000-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fmax.d,0010101----------001-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_d,fcvt.s.d,010000000001-------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
rv_d,fcvt.d.s,010000100000-------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
rv_d,feq.d,1010001----------010-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
rv_d,flt.d,1010001----------001-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
rv_d,fle.d,1010001----------000-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
rv_d,fclass.d,111000100000-----001-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_d,fcvt.w.d,110000100000-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_d,fcvt.wu.d,110000100001-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_d,fcvt.d.w,110100100000-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv_d,fcvt.d.wu,110100100001-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv64_d,fcvt.l.d,110000100010-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv64_d,fcvt.lu.d,110000100011-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv64_d,fmv.x.d,111000100000-----000-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv64_d,fcvt.d.l,110100100010-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv64_d,fcvt.d.lu,110100100011-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv64_d,fmv.d.x,111100100000-----000-----1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ilegal,noname,--------------------------------,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
